,BikeParking,OutdoorSeating,GoodForKids,NoiseLevel,RestaurantsGoodForGroups,GoodForDancing,CoatCheck,WiFi,RestaurantsPriceRange2,HappyHour,Alcohol,ByAppointmentOnly,HasTV,RestaurantsReservations,BusinessAcceptsCreditCards,RestaurantsAttire,Caters,RestaurantsTakeOut,RestaurantsDelivery,Smoking,RestaurantsTableService,WheelchairAccessible,BusinessAcceptsBitcoin,DogsAllowed,Corkage,BYOBCorkage,BYOB,DriveThru,AgesAllowed,DietaryRestrictions,HairSpecializesIn,AcceptsInsurance,Open24Hours,RestaurantsCounterService,garage,street,validated,lot,valet,touristy,hipster,romantic,divey,intimate,trendy,upscale,classy,casual,dj,background_music,no_music,jukebox,live,video,karaoke,monday,tuesday,friday,wednesday,thursday,sunday,saturday,dessert,latenight,lunch,dinner,brunch,breakfast,stars
X5t3KVdMnFgAYmSl1wYLhmA,TRUE,TRUE,FALSE,'average',TRUE,TRUE,FALSE,'free',1,TRUE,'beer_and_wine',FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,3.5
KWywu2tTEPWmR9JnBc0WyQ,FALSE,TRUE,FALSE,'loud',TRUE,TRUE,NA,NA,2,NA,'full_bar',NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
tstimHoMcYbkSC4eBA1wEg,TRUE,FALSE,TRUE,'average',TRUE,NA,NA,'no',1,FALSE,'beer_and_wine',NA,TRUE,FALSE,TRUE,'casual',FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4.5
dQj5DLZjeDK3KFysh1SYOQ,TRUE,FALSE,FALSE,'average',TRUE,FALSE,FALSE,'free',2,TRUE,'full_bar',NA,FALSE,FALSE,TRUE,'casual',TRUE,TRUE,FALSE,'no',FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4.5
X7aLkFEBnL1LJmQdcuaovuQ,FALSE,TRUE,TRUE,'average',TRUE,FALSE,FALSE,'free',1,TRUE,'full_bar',NA,TRUE,FALSE,TRUE,'casual',FALSE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
X0lFAD4CuWcQVl9u3.lRaCQ,TRUE,FALSE,FALSE,'quiet',TRUE,NA,FALSE,'free',2,TRUE,'full_bar',NA,TRUE,FALSE,TRUE,'casual',FALSE,TRUE,FALSE,'outdoor',FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
iwGhazq9eP51PSerTrMrwg,TRUE,FALSE,FALSE,'quiet',TRUE,FALSE,NA,'no',1,TRUE,'full_bar',NA,TRUE,FALSE,TRUE,'casual',FALSE,TRUE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
z3csSfd.UBMP1Gk6zHY_AA,TRUE,TRUE,FALSE,'loud',TRUE,FALSE,FALSE,'free',2,TRUE,'full_bar',NA,TRUE,TRUE,NA,'casual',FALSE,TRUE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2.5
X3E0JDI0XMUoFztoEmX2D7w,FALSE,FALSE,NA,'loud',TRUE,FALSE,FALSE,NA,2,NA,'full_bar',NA,FALSE,NA,NA,NA,NA,NA,NA,'no',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,3.5
a7zF4dDTeswXZGmohBDbJw,TRUE,FALSE,FALSE,'loud',TRUE,FALSE,FALSE,'no',1,NA,'full_bar',NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,3.5
