,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
156,jScBTQtdAt-8RshaiBEHgw,Served,"1770 W Horizon Ridge, Ste 100",Henderson,NV,89012,36.0107451,-115.0648029,4.5,664,1,"{'DriveThru': 'False', 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""'quiet'"", 'RestaurantsGoodForGroups': 'True', 'WiFi': ""'no'"", 'Alcohol': ""u'beer_and_wine'"", 'WheelchairAccessible': 'True', 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'Caters': 'True', 'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsTableService': 'True', 'BikeParking': 'False', 'RestaurantsReservations': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'False'}","Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean","{'Monday': '0:0-0:0', 'Tuesday': '9:0-15:0', 'Wednesday': '9:0-14:0', 'Thursday': '11:0-16:0', 'Friday': '9:0-15:0', 'Saturday': '9:0-15:0', 'Sunday': '9:0-16:0'}"
260,tWjfgVtTD5n01Cq9dFWGsA,Cibo,1012 17 Avenue SW,Calgary,AB,T2T 0A5,51.0380869,-114.0849675,3.5,185,1,"{'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'Caters': 'False', 'RestaurantsDelivery': 'True', 'BikeParking': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'WheelchairAccessible': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'free'"", 'RestaurantsTableService': 'True'}","Italian, Canadian (New), Food, American (New), Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-0:0'}"
387,JO5_Frcbp9J732VNn-I3Ew,Steak ’n Shake,3316 Center Rd,Brunswick,OH,44212,41.2378014833,-81.8060022,2.0,44,1,"{'HasTV': 'False', 'RestaurantsAttire': ""'casual'"", 'OutdoorSeating': 'False', 'Alcohol': ""u'none'"", 'GoodForKids': 'True', 'DriveThru': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'WiFi': ""'free'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","American (New), Burgers, Diners, Restaurants, Fast Food, Breakfast & Brunch, American (Traditional)","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
454,GiTv0gFXtYFQAzCXnPvepQ,Chili's,5521 Westpark Dr,Charlotte,NC,28217,35.1621387,-80.8868514,2.5,48,1,"{'WiFi': ""u'no'"", 'Alcohol': ""'full_bar'"", 'Corkage': 'False', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'NoiseLevel': ""u'very_loud'"", 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'GoodForKids': 'True', 'HappyHour': 'True', 'BYOBCorkage': ""'yes_free'"", 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'False', 'BikeParking': 'False', 'RestaurantsReservations': 'False', 'BYOB': 'False', 'WheelchairAccessible': 'True', 'GoodForDancing': 'False', 'RestaurantsGoodForGroups': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'Caters': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'CoatCheck': 'False'}","Restaurants, American (Traditional), American (New), Tex-Mex, Bars, Nightlife","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-23:0'}"
540,p8u03IURLPg_5jYSY3OmMQ,Farmer Boy,610 E Cuyahoga Falls Ave,Akron,OH,44310,41.113789,-81.496875,3.0,34,1,"{'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""u'casual'"", 'Caters': 'False', 'OutdoorSeating': 'False', 'BikeParking': 'True', 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'WiFi': ""'no'""}","American (New), Restaurants",
565,3KzzG6dw5aN9eIo3cGHaSA,Steak ’n Shake,5051 Som Center Rd,Willoughby,OH,44094,41.6234487,-81.4392608,2.5,43,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'Alcohol': ""u'none'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'HasTV': 'False', 'BikeParking': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': True, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""u'free'"", 'RestaurantsGoodForGroups': 'True'}","Restaurants, Fast Food, Burgers, American (Traditional), American (New), Breakfast & Brunch, Diners","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
584,RGK23CEkDfYHWtUbRhA-bQ,The Turnhouse Grille,"1600 E Woodlawn Rd, Ste 100",Charlotte,NC,28209,35.1717355947,-80.8492714539,4.5,102,1,"{'GoodForKids': 'False', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'OutdoorSeating': 'True', 'CoatCheck': 'False', 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""'full_bar'"", 'Smoking': ""u'outdoor'"", 'GoodForDancing': 'True', 'RestaurantsAttire': ""'casual'"", 'HappyHour': 'True', 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}""}","Burgers, Restaurants, American (New), Bars, American (Traditional), Nightlife","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}"
603,MDJqm5KN1hFWm4R2VtNIlw,Waffle House,8220 Pineville Matthews Rd,Pineville,NC,28134,35.087963,-80.858488,3.5,33,1,"{'WiFi': ""'no'"", 'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'BikeParking': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'none'"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'HasTV': 'False', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""u'casual'""}","Diners, American (Traditional), Restaurants, Breakfast & Brunch, Waffles, American (New), Fast Food, Burgers","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
637,MYMoho8uONfkTvaVNL-pVQ,JC's Restaurant,13816 W Center St,Burton,OH,44021,41.4709663391,-81.1464233398,3.5,35,1,"{'RestaurantsTakeOut': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'WiFi': ""'no'"", 'HasTV': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'Alcohol': ""u'full_bar'""}","Burgers, American (New), Sandwiches, Breakfast & Brunch, Restaurants","{'Monday': '6:0-20:0', 'Tuesday': '6:0-20:0', 'Wednesday': '6:0-20:0', 'Thursday': '6:0-20:0', 'Friday': '6:0-21:0', 'Saturday': '6:0-20:0', 'Sunday': '7:0-19:0'}"
708,giCq1MmW-_S2tvNOAHvJcQ,Tarbell's The Tavern,3209 E Camelback Rd,Phoenix,AZ,85018,33.5091229429,-112.0126287829,4.0,107,1,"{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForDancing': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Music': ""{'dj': False, 'background_music': True, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'GoodForKids': 'False', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsTableService': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'Caters': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'HappyHour': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'CoatCheck': 'False', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'Smoking': ""u'no'""}","American (Traditional), Lounges, American (New), Mexican, Wine Bars, Restaurants, Nightlife, Bars, Cocktail Bars","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '12:0-15:0'}"
